StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,id_prolific,check,assertion_7_13,assertion_7_10,assertion_13_7,assertion_13_10,assertion_10_7,assertion_10_13,assertion_29_16,assertion_29_30,assertion_16_29,assertion_16_30,assertion_30_29,assertion_30_16,assertion_33_40,assertion_33_31,assertion_40_33,assertion_40_31,assertion_31_33,assertion_31_40,question_7_13,"question_7_10 ",question_13_7,question_13_10,question_10_7,question_10_13,"question_29_16 ",question_29_30,question_16_29,"question_16_30 ",question_30_29,question_30_16,question_33_40,"question_33_31 ","question 40_33 ",question_40_31,question_31_33,question_31_40,PROLIFIC_PID
2022-11-04 19:32:29,2022-11-04 19:34:22,0,75.226.144.162,100,112,1,2022-11-04 19:34:22,R_3kv4p8GoW6cydGp,,,,,36.115,-115.2165,anonymous,EN,1,6300ef41f4a85c5538383411,I pay attention,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,1,1,6300ef41f4a85c5538383411
2022-11-04 19:33:08,2022-11-04 19:34:59,0,174.206.231.12,100,110,1,2022-11-04 19:34:59,R_CeQ21oyIpLvXj7b,,,,,40.7873,-74.3211,anonymous,EN,1,60ce56d42699a4857f02a46c,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,1,1,60ce56d42699a4857f02a46c
2022-11-04 19:34:21,2022-11-04 19:35:36,0,107.184.141.193,100,75,1,2022-11-04 19:35:36,R_20VbTYyT05FPQd2,,,,,34.3046,-118.6844,anonymous,EN,1,5c26b151c4b6e3000152c0b8,I pay attention,,,,,1,1,,,,,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,5c26b151c4b6e3000152c0b8
2022-11-04 19:34:47,2022-11-04 19:35:45,0,76.146.93.158,100,57,1,2022-11-04 19:35:45,R_3qBE7xjQrFUsKWe,,,,,47.6733,-122.3426,anonymous,EN,1,62fdda76250ace9232630851,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,1,2,,,,,1,1,,,,,62fdda76250ace9232630851
2022-11-04 19:33:05,2022-11-04 19:35:48,0,168.91.236.93,100,162,1,2022-11-04 19:35:48,R_1mezsdGUpkIPKDO,,,,,41.9025,-87.6726,anonymous,EN,1,6363273860dac3a6c83fcbd4,"I pay attention ",1,2,,,,,1,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,6363273860dac3a6c83fcbd4
2022-11-04 19:35:04,2022-11-04 19:36:32,0,205.175.106.100,100,88,1,2022-11-04 19:36:32,R_3DjD2YUF8IzNH08,,,,,47.6631,-122.3029,anonymous,EN,1,610787c5267f779a3087986d,I pay attention,,,,,1,1,,,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,610787c5267f779a3087986d
2022-11-04 19:35:37,2022-11-04 19:37:04,0,172.249.119.14,100,86,1,2022-11-04 19:37:05,R_3DpdFTdSCMxFaaS,,,,,33.8744,-117.8565,anonymous,EN,1,610a06e4613ff666139fd6d9,I pay attention,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,1,,,610a06e4613ff666139fd6d9
2022-11-04 19:36:30,2022-11-04 19:38:08,0,71.80.58.45,100,97,1,2022-11-04 19:38:08,R_1IHpcLTzonSzQfb,,,,,35.6865,-81.3664,anonymous,EN,1,6333c1f5756acfabfde457ed,I pay attention,,,2,2,,,,,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,6333c1f5756acfabfde457ed
2022-11-04 19:37:39,2022-11-04 19:38:45,0,74.197.76.153,100,65,1,2022-11-04 19:38:45,R_3NPwDuZk0Qiobed,,,,,31.4712,-100.4385,anonymous,EN,1,5ec5925cb3d6035afea34d20,I pay attention,1,2,,,,,,,,,2,1,,,,,1,1,,,,,,,,,,,,,,,,,,,5ec5925cb3d6035afea34d20
2022-11-04 19:36:43,2022-11-04 19:38:47,0,128.32.99.185,100,124,1,2022-11-04 19:38:48,R_3GDGJpU5wNTxZYV,,,,,37.8767,-122.2676,anonymous,EN,1,607f06aa188579a205a54d81,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,2,,,,,607f06aa188579a205a54d81
2022-11-04 19:36:33,2022-11-04 19:38:50,0,100.2.241.116,100,137,1,2022-11-04 19:38:51,R_2Cv45dUfNJZKdki,,,,,40.781,-73.9501,anonymous,EN,1,5eea4934bde1301131abb0f3,I pay attention,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,2,2,,,1,2,,,5eea4934bde1301131abb0f3
2022-11-04 19:36:48,2022-11-04 19:39:02,0,47.212.203.9,100,134,1,2022-11-04 19:39:02,R_Rf6gCEyoSTy9TSp,,,,,35.1872,-111.6596,anonymous,EN,1,5babf1bbbd544700016de54b,I pay attention,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1,1,,,5babf1bbbd544700016de54b
2022-11-04 19:37:21,2022-11-04 19:39:05,0,76.181.82.110,100,103,1,2022-11-04 19:39:05,R_1jZm8yqnTSA1CTC,,,,,41.3499,-83.1131,anonymous,EN,1,6320e419d1acadbc6688cf7a,I pay attention,,,,,,,,,,,,,,,,,,,,,2,1,,,,,2,1,,,,,,,1,1,6320e419d1acadbc6688cf7a
2022-11-04 19:37:02,2022-11-04 19:39:14,0,107.135.60.108,100,131,1,2022-11-04 19:39:14,R_3HRpNozCDyShZ4Z,,,,,41.9209,-87.7043,anonymous,EN,1,631a0df4bc4837f7780de22a,I pay attention,,,,,1,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,631a0df4bc4837f7780de22a
2022-11-04 19:37:53,2022-11-04 19:39:30,0,104.14.147.240,100,96,1,2022-11-04 19:39:30,R_RsJmEtxkqayvm7f,,,,,26.2729,-80.26,anonymous,EN,1,631aba44f8c0fc812e5233e9,i pay attention,,,1,2,,,,,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,631aba44f8c0fc812e5233e9
2022-11-04 19:38:16,2022-11-04 19:40:30,0,70.186.199.142,100,133,1,2022-11-04 19:40:30,R_3khQsjbLlMLcegS,,,,,36.9456,-76.254,anonymous,EN,1,6361b4139dcef6bee755d347,"""I pay attention""",1,2,,,,,,,1,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,6361b4139dcef6bee755d347
2022-11-04 19:38:57,2022-11-04 19:40:36,0,73.175.162.22,100,98,1,2022-11-04 19:40:36,R_2A1jVskapzpB9CU,,,,,39.8155,-77.9061,anonymous,EN,1,5beddd59e4dbf300011c1d50,I pay attention,1,2,,,,,1,2,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,5beddd59e4dbf300011c1d50
2022-11-04 19:39:35,2022-11-04 19:40:56,0,192.12.14.2,100,81,1,2022-11-04 19:40:56,R_3jSBCohe3BIz4Dr,,,,,39.303,-76.6062,anonymous,EN,1,6116542cf4f3135071d39008,i pay attention,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,1,1,,,6116542cf4f3135071d39008
2022-11-04 19:39:52,2022-11-04 19:41:10,0,199.38.205.134,100,77,1,2022-11-04 19:41:10,R_2wH9pVKFkXR2lYo,,,,,41.1445,-84.5764,anonymous,EN,1,613126c4836e8b2f5308376e,I pay attention,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,,,,,1,2,,,,,613126c4836e8b2f5308376e
2022-11-04 19:40:29,2022-11-04 19:42:06,0,50.219.133.147,100,96,1,2022-11-04 19:42:06,R_1o1jFYQUqkoH1gD,,,,,42.3268,-71.1341,anonymous,EN,1,610db26c7f0c9791046c8c76,I pay attention,,,2,2,,,1,2,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,610db26c7f0c9791046c8c76
2022-11-04 19:40:30,2022-11-04 19:42:07,0,104.152.205.245,100,96,1,2022-11-04 19:42:07,R_3QQaL73gmIE6fEo,,,,,45.3479,-117.2074,anonymous,EN,1,5eb192fcbb01520b5cae89ee,"I pay attention ",,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,1,1,2,,,,,5eb192fcbb01520b5cae89ee
2022-11-04 19:41:10,2022-11-04 19:42:14,0,73.161.207.110,100,63,1,2022-11-04 19:42:14,R_2scLgdgTutabg4p,,,,,42.9469,-85.6206,anonymous,EN,1,59f62ab95ac99000018b03b5,I pay attention,,,,,1,1,,,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,59f62ab95ac99000018b03b5
2022-11-04 19:38:05,2022-11-04 19:42:46,0,98.186.250.36,100,280,1,2022-11-04 19:42:46,R_3G9sNBh1ofBobsM,,,,,33.3804,-112.0246,anonymous,EN,1,62f6c54d35e79bee276258fb,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,1,1,62f6c54d35e79bee276258fb
2022-11-04 19:41:50,2022-11-04 19:42:57,0,98.61.155.232,100,66,1,2022-11-04 19:42:58,R_3JmzM0xVingzgOG,,,,,44.8328,-93.4396,anonymous,EN,1,6234fb9dc715e1b3a9007c7e,I pay attention,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,6234fb9dc715e1b3a9007c7e
2022-11-04 19:42:22,2022-11-04 19:43:21,0,173.172.107.121,100,59,1,2022-11-04 19:43:22,R_27WIrfQ7obChXAb,,,,,38.9523,-94.7395,anonymous,EN,1,60ff73944b8a448452e215ec,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,1,,,,,,,2,2,60ff73944b8a448452e215ec
2022-11-04 19:43:14,2022-11-04 19:44:23,0,174.192.3.234,100,68,1,2022-11-04 19:44:23,R_2dRMBpRrxMSUOu1,,,,,41.749,-72.6904,anonymous,EN,1,6321657b49ebd6e735142198,"I pay attention ",,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,1,,,1,1,,,6321657b49ebd6e735142198
2022-11-04 19:43:03,2022-11-04 19:44:31,0,75.82.34.125,100,88,1,2022-11-04 19:44:31,R_1JJhFEm4bCTNOan,,,,,34.1057,-118.3286,anonymous,EN,1,5e6fca371814a4594af2f420,I pay attention,1,2,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,5e6fca371814a4594af2f420
2022-11-04 19:43:01,2022-11-04 19:44:34,0,172.58.221.45,100,93,1,2022-11-04 19:44:35,R_3prkFEAWgn80UW2,,,,,42.2903,-71.0798,anonymous,EN,1,600f455bb9d3f7107e673797,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,1,,,,,,,1,1,600f455bb9d3f7107e673797
2022-11-04 19:43:06,2022-11-04 19:44:35,0,174.240.213.34,100,88,1,2022-11-04 19:44:35,R_25DTmLF8nP1Kf17,,,,,40.0364,-75.2219,anonymous,EN,1,5d1c31bab6a81c001af88564,"No I don't I like the game ",,,,,2,2,1,1,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,5d1c31bab6a81c001af88564
2022-11-04 19:42:37,2022-11-04 19:45:13,0,97.73.80.56,100,156,1,2022-11-04 19:45:13,R_2f7K7N7cUXV9UYt,,,,,38.5774,-90.6709,anonymous,EN,1,610976a9397b8cbaecbc05f3,"I pay attention ",1,2,,,,,,,1,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,610976a9397b8cbaecbc05f3
2022-11-04 19:43:06,2022-11-04 19:45:21,0,66.112.171.16,100,135,1,2022-11-04 19:45:22,R_1LqEyATZgXoa1YC,,,,,32.5673,-82.3428,anonymous,EN,1,628b8ef9ef5432197c27bbc9,I pay attention,,,1,2,,,1,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,628b8ef9ef5432197c27bbc9
2022-11-04 19:44:28,2022-11-04 19:45:39,0,71.126.244.204,100,70,1,2022-11-04 19:45:39,R_2dvgiBZGerW3tpG,,,,,42.4178,-71.1134,anonymous,EN,1,57a7ead9275be6000135b6be,I pay attention,,,,,1,1,,,,,2,1,,,1,2,,,,,,,,,,,,,,,,,,,,,57a7ead9275be6000135b6be
2022-11-04 19:41:31,2022-11-04 19:45:42,0,76.82.192.228,100,251,1,2022-11-04 19:45:43,R_3MAw0Lzm0alR52P,,,,,34.4279,-118.4513,anonymous,EN,1,5caa30e5a3e7040001149d28,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,1,2,,,,,,,,,1,1,5caa30e5a3e7040001149d28
2022-11-04 19:44:55,2022-11-04 19:46:37,0,65.158.241.202,100,101,1,2022-11-04 19:46:38,R_2aFBZJv2Bfi7PdH,,,,,42.2808,-122.9047,anonymous,EN,1,632cafe32ff306f698e26991,I pay attention,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,1,1,2,,,,,632cafe32ff306f698e26991
2022-11-04 19:44:27,2022-11-04 19:46:38,0,24.180.154.120,100,131,1,2022-11-04 19:46:39,R_3F3hPZW8uO1cbx9,,,,,43.6055,-84.7796,anonymous,EN,1,636148398e1e96b962192d20,I pay attention,,,,,1,1,,,,,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,636148398e1e96b962192d20
2022-11-04 19:45:48,2022-11-04 19:46:51,0,47.196.71.233,100,63,1,2022-11-04 19:46:51,R_1DZSOZfP0IyGw9g,,,,,27.9448,-82.2409,anonymous,EN,1,612d392b4ed3130794cc1eeb,I pay attention,1,1,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,612d392b4ed3130794cc1eeb
2022-11-04 19:43:51,2022-11-04 19:47:11,0,174.193.207.178,100,200,1,2022-11-04 19:47:12,R_22yQqurcObjlcMm,,,,,34.0447,-118.2946,anonymous,EN,1,613e157ccd6af6049001ce25,"I pay attention ",,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,2,,,,,2,2,,,613e157ccd6af6049001ce25
2022-11-04 19:46:05,2022-11-04 19:47:45,0,24.3.186.212,100,100,1,2022-11-04 19:47:46,R_2Y2IhecAkCFdEbm,,,,,40.4965,-80.206,anonymous,EN,1,5ca60cd95a6f9a0015b2d034,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,1,1,,,5ca60cd95a6f9a0015b2d034
2022-11-04 19:46:44,2022-11-04 19:48:14,0,67.176.224.210,100,90,1,2022-11-04 19:48:14,R_1JE2DjbQhZWzZJx,,,,,41.9555,-87.6613,anonymous,EN,1,627161ec9a2c16ab6496e364,I pay attention,,,,,,,,,,,,,,,,,,,,,1,1,,,1,2,,,,,,,,,1,1,627161ec9a2c16ab6496e364
2022-11-04 19:46:41,2022-11-04 19:48:28,0,174.251.65.196,100,106,1,2022-11-04 19:48:28,R_yxx93F70ZIGYk2R,,,,,40.8,-73.9763,anonymous,EN,1,5d48f454fb0ce0001a050283,"I pay attention ",,,1,2,,,1,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,5d48f454fb0ce0001a050283
2022-11-04 19:46:13,2022-11-04 19:48:40,0,108.20.162.47,100,147,1,2022-11-04 19:48:40,R_1JOSJxv6M2zFfto,,,,,42.2803,-71.25,anonymous,EN,1,60204556a5fe01622758e71d,I pay attention,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,,,,,,,,,1,1,60204556a5fe01622758e71d
2022-11-04 19:45:53,2022-11-04 19:48:45,0,76.112.222.57,100,172,1,2022-11-04 19:48:46,R_8ldueeBzJ86Cutj,,,,,42.1253,-83.5686,anonymous,EN,1,6365446b73abeaf8404d302e,"I pay attention ",,,2,2,,,,,2,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,6365446b73abeaf8404d302e
2022-11-04 19:47:45,2022-11-04 19:48:49,0,73.44.34.229,100,63,1,2022-11-04 19:48:49,R_tGO0IrClOdQIHiV,,,,,41.5335,-87.8931,anonymous,EN,1,60fcf9abf635e9904cb7dca9,I pay attention,,,1,2,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,60fcf9abf635e9904cb7dca9
2022-11-04 19:47:21,2022-11-04 19:49:06,0,73.43.109.59,100,104,1,2022-11-04 19:49:06,R_3iO3b7GKpNakysm,,,,,33.7657,-84.2951,anonymous,EN,1,60bd3949b6f6d9c3453e8def,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,1,1,2,,,,,60bd3949b6f6d9c3453e8def
2022-11-04 19:49:05,2022-11-04 19:50:09,0,72.206.99.7,100,63,1,2022-11-04 19:50:09,R_23V4VwrV7UgHSpY,,,,,41.2884,-95.9972,anonymous,EN,1,5adcefb65f327e0001fb4c05,I pay attention,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,1,1,,,5adcefb65f327e0001fb4c05
2022-11-04 19:48:41,2022-11-04 19:50:20,0,107.126.60.185,100,98,1,2022-11-04 19:50:20,R_Y51hqXIwjwSLVsJ,,,,,36.1671,-86.7861,anonymous,EN,1,5e69747159921f000b6a17df,I pay attention,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,,,,,5e69747159921f000b6a17df
2022-11-04 19:49:15,2022-11-04 19:50:31,0,76.137.70.52,100,76,1,2022-11-04 19:50:31,R_3MPUbr14pX2Gm9C,,,,,27.1965,-80.2583,anonymous,EN,1,5eaca7d096a624329dcb5e1d,I pay attention,,,,,1,1,,,,,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,5eaca7d096a624329dcb5e1d
2022-11-04 19:49:29,2022-11-04 19:51:13,0,172.58.27.180,100,103,1,2022-11-04 19:51:14,R_2wpqdQ0wkAWeVw8,,,,,34.0544,-118.244,anonymous,EN,1,5e976f67be609822f1146463,"I pay attention ",1,1,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,5e976f67be609822f1146463
2022-11-04 19:49:59,2022-11-04 19:51:30,0,75.172.20.174,100,91,1,2022-11-04 19:51:31,R_3g5SSwfAwXRTFGr,,,,,47.6733,-122.3426,anonymous,EN,1,62740df32a7f307b397869db,I pay attention.,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,2,,,,,1,2,,,62740df32a7f307b397869db
2022-11-04 19:50:08,2022-11-04 19:51:59,0,107.77.199.107,100,110,1,2022-11-04 19:51:59,R_2bKa8AMOuVt6fFX,,,,,32.7797,-96.8022,anonymous,EN,1,62b9bd2b93657665bf0fc91d,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,2,1,2,,,,,62b9bd2b93657665bf0fc91d
2022-11-04 19:50:46,2022-11-04 19:52:09,0,162.198.134.53,100,82,1,2022-11-04 19:52:09,R_3il2gUuPsymiGSl,,,,,33.9372,-84.0791,anonymous,EN,1,609ecb77b7a7d8126b513a4b,I pay attention,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,609ecb77b7a7d8126b513a4b
2022-11-04 19:50:36,2022-11-04 19:52:31,0,24.186.128.157,100,114,1,2022-11-04 19:52:31,R_1lb2O1Uuo4UIvkC,,,,,40.847,-73.8616,anonymous,EN,1,5b66358e9ed653000189c427,I pay attention,,,1,2,,,1,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,5b66358e9ed653000189c427
2022-11-04 19:51:29,2022-11-04 19:52:37,0,104.173.200.179,100,68,1,2022-11-04 19:52:38,R_x0is928p9KiBDNf,,,,,34.029,-118.4005,anonymous,EN,1,600628028f2211980fd1632c,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,1,1,600628028f2211980fd1632c
2022-11-04 19:51:16,2022-11-04 19:52:51,0,172.58.184.33,100,95,1,2022-11-04 19:52:51,R_Y04kMM3BkzhkWNH,,,,,40.3926,-79.9052,anonymous,EN,1,55f5e5e132af740012171c62,i pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,,,2,2,,,,,,,2,2,55f5e5e132af740012171c62
2022-11-04 19:51:44,2022-11-04 19:53:09,0,136.56.145.244,100,85,1,2022-11-04 19:53:10,R_Tqi20ia8N1qhMTT,,,,,35.7704,-78.6293,anonymous,EN,1,5eaad5dcc2e64603e5122442,I pay attention,,,,,2,1,,,,,2,1,,,,,1,1,,,,,,,,,,,,,,,,,,,5eaad5dcc2e64603e5122442
2022-11-04 19:51:36,2022-11-04 19:53:12,0,75.44.21.208,100,96,1,2022-11-04 19:53:13,R_2wzeL72rmPDkPra,,,,,33.0273,-80.1768,anonymous,EN,1,62e99c5ba3484be10c322440,I pay attention,1,2,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,62e99c5ba3484be10c322440
2022-11-04 19:52:00,2022-11-04 19:53:16,0,159.250.11.222,100,76,1,2022-11-04 19:53:17,R_3EbrZRUEslbxs6u,,,,,41.9165,-71.8921,anonymous,EN,1,58a652549a17120001d9193f,I pay attention,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,58a652549a17120001d9193f
2022-11-04 19:52:30,2022-11-04 19:53:39,0,68.131.117.231,100,68,1,2022-11-04 19:53:39,R_A6F0XdZHJw60XTz,,,,,36.8558,-76.0042,anonymous,EN,1,6046df92e1974f153fb14b48,I pay attention,,,1,2,,,,,1,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,6046df92e1974f153fb14b48
2022-11-04 19:48:43,2022-11-04 19:53:46,0,170.205.174.22,100,303,1,2022-11-04 19:53:46,R_23fOOfkevG7Jx6m,,,,,32.4011,-83.3202,anonymous,EN,1,5ed00568bb7bc80b46b0a88d,I pay attention,,,,,1,1,,,1,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,5ed00568bb7bc80b46b0a88d
2022-11-04 19:52:32,2022-11-04 19:53:53,0,172.249.1.56,100,80,1,2022-11-04 19:53:54,R_1Ce9D95Zcf0LQ8G,,,,,33.9675,-118.1464,anonymous,EN,1,611183c67911657721712872,I pay attention,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,2,1,1,,,,,611183c67911657721712872
2022-11-04 19:52:39,2022-11-04 19:54:00,0,172.58.61.207,100,81,1,2022-11-04 19:54:01,R_eLkLcA12LKYJGqR,,,,,39.7388,-104.9868,anonymous,EN,1,60fe5017da1ab700dfd450e9,I pay attention,,,,,,,,,,,,,,,,,,,1,1,,,,,1,2,,,,,,,,,1,2,60fe5017da1ab700dfd450e9
2022-11-04 19:53:40,2022-11-04 19:54:57,0,71.60.171.10,100,77,1,2022-11-04 19:54:58,R_3lDKTRFXCvIFh0d,,,,,40.6421,-79.7273,anonymous,EN,1,62eda5558d22fb31eba6a451,I pay attention,,,,,,,,,,,,,,,,,,,,,1,2,,,1,1,,,,,,,1,2,,,62eda5558d22fb31eba6a451
2022-11-04 19:53:50,2022-11-04 19:55:11,0,73.210.79.188,100,81,1,2022-11-04 19:55:12,R_3Rk356vM3GK4Hws,,,,,41.9778,-88.2018,anonymous,EN,1,5cbfd2c776a6810001fd29b2,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,,,1,1,,,,,5cbfd2c776a6810001fd29b2
2022-11-04 19:54:44,2022-11-04 19:55:35,0,174.198.13.116,100,50,1,2022-11-04 19:55:35,R_1q2G8NLDDWcVyEk,,,,,40.058,-75.1876,anonymous,EN,1,5c742339e621f900163f4543,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,2,,,5c742339e621f900163f4543
2022-11-04 19:53:08,2022-11-04 19:55:37,0,35.131.176.20,100,149,1,2022-11-04 19:55:37,R_3elDQhf0I844teH,,,,,35.6014,-82.4895,anonymous,EN,1,5fca054298bccf24d97f2530,I pay attention,,,,,1,1,,,2,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,5fca054298bccf24d97f2530
2022-11-04 19:53:36,2022-11-04 19:56:08,0,73.59.200.58,100,151,1,2022-11-04 19:56:08,R_27yhh953kBmDD42,,,,,34.9488,-89.9305,anonymous,EN,1,5d63275f9b22da000117b107,I pay attention,,,,,1,2,2,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,5d63275f9b22da000117b107
2022-11-04 19:54:51,2022-11-04 19:56:08,0,24.129.106.189,100,77,1,2022-11-04 19:56:09,R_3I9PTY3GCw8yaiq,,,,,30.2183,-81.5621,anonymous,EN,1,62dc24fa35bc6caa02048e3e,I pay attention,1,2,,,,,,,,,1,1,,,,,1,2,,,,,,,,,,,,,,,,,,,62dc24fa35bc6caa02048e3e
2022-11-04 19:54:18,2022-11-04 19:56:30,0,73.194.152.251,100,132,1,2022-11-04 19:56:31,R_1dn0NcYknQr6tWB,,,,,39.8013,-75.0031,anonymous,EN,1,60d22b95ea12a89273fde27d,I pay attention,1,2,,,,,1,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,60d22b95ea12a89273fde27d
2022-11-04 19:55:27,2022-11-04 19:56:38,0,174.204.137.110,100,71,1,2022-11-04 19:56:38,R_ThZLFZlhdvJJsnT,,,,,40.7809,-73.9502,anonymous,EN,1,5be2f3db4616da00010def19,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,1,1,,,,,,,,,1,2,5be2f3db4616da00010def19
2022-11-04 19:55:13,2022-11-04 19:56:47,0,73.130.113.230,100,94,1,2022-11-04 19:56:48,R_2ZK3bXqFWlNiv3K,,,,,40.3886,-75.9286,anonymous,EN,1,63653ece89408e389ded0450,I pay attention,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,1,,,1,2,,,63653ece89408e389ded0450
2022-11-04 19:54:39,2022-11-04 19:56:49,0,75.35.32.179,100,129,1,2022-11-04 19:56:49,R_30767vaxlZZqbcN,,,,,34.0297,-84.1469,anonymous,EN,1,61537529838b05f12699918e,I pay attention,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,2,,,2,2,,,,,61537529838b05f12699918e
2022-11-04 19:56:01,2022-11-04 19:56:49,0,96.73.239.17,100,47,1,2022-11-04 19:56:50,R_3EaKIzT1Nz0bRfV,,,,,34.0747,-84.5953,anonymous,EN,1,62acafc833450e1feb7ba05b,I pay attention,1,2,,,,,,,,,2,1,,,2,2,,,,,,,,,,,,,,,,,,,,,62acafc833450e1feb7ba05b
2022-11-04 19:55:31,2022-11-04 19:56:58,0,73.149.233.196,100,87,1,2022-11-04 19:56:59,R_3huxw3XvopzJXYY,,,,,42.2463,-70.9972,anonymous,EN,1,5653c7df04212700124a0fdf,I pay attention,,,,,1,1,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,5653c7df04212700124a0fdf
2022-11-04 19:56:05,2022-11-04 19:57:13,0,73.67.135.217,100,67,1,2022-11-04 19:57:13,R_3gMVCcKHFqYW5vt,,,,,45.5288,-122.6821,anonymous,EN,1,555122cbfdf99b7f207446bb,I pay attention,,,2,2,,,1,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,555122cbfdf99b7f207446bb
2022-11-04 19:42:43,2022-11-04 19:58:07,0,73.7.176.226,100,924,1,2022-11-04 19:58:08,R_31yeH0ODs9mlrc9,,,,,33.6992,-84.7478,anonymous,EN,1,5d520a2a08c3b00019384072,I pay attention,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,2,,,1,2,,,,,5d520a2a08c3b00019384072
2022-11-04 19:55:26,2022-11-04 19:58:09,0,50.245.102.89,100,162,1,2022-11-04 19:58:09,R_1rpt3fXbZTooumG,,,,,42.4602,-83.1343,anonymous,EN,1,608df7e7f5aba26e1231a0b0,I pay attention,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,,,,,,,,,1,1,608df7e7f5aba26e1231a0b0
